t_seconds,client,account_returned,x_cache_status
5.199,household24,household33,HIT
5.204,household32,household33,HIT
5.268,household30,household33,HIT
5.3,household14,household33,HIT
5.333,household28,household33,HIT
5.415,household15,household33,HIT
5.417,household25,household33,HIT
5.452,household31,household33,HIT
5.463,household26,household33,HIT
5.48,household06,household33,HIT
5.512,household13,household33,HIT
5.528,household33,household33,HIT
5.634,household16,household33,HIT
5.648,household07,household33,HIT
5.652,household27,household33,HIT
5.678,household36,household33,HIT
5.709,household08,household33,HIT
5.743,household02,household33,HIT
5.761,household05,household33,HIT
5.793,household12,household12,EXPIRED
5.818,household23,household12,HIT
5.823,household40,household12,HIT
5.834,household37,household12,HIT
5.837,household03,household12,HIT
5.838,household01,household12,HIT
5.839,household34,household12,HIT
5.842,household22,household12,HIT
5.846,household29,household12,HIT
5.847,household20,household12,HIT
5.914,household11,household12,HIT
5.962,household21,household12,HIT
5.965,household09,household12,HIT
5.966,household38,household12,HIT
6.014,household19,household12,HIT
6.016,household17,household12,HIT
6.078,household35,household12,HIT
6.115,household10,household12,HIT
6.144,household18,household12,HIT
6.15,household04,household12,HIT
6.175,household39,household12,HIT
6.252,household24,household12,HIT
6.403,household32,household12,HIT
6.412,household14,household12,HIT
6.441,household30,household12,HIT
6.479,household31,household12,HIT
6.509,household28,household12,HIT
6.512,household13,household12,HIT
6.519,household26,household12,HIT
6.553,household06,household12,HIT
6.558,household33,household12,HIT
6.584,household15,household12,HIT
6.595,household25,household12,HIT
6.686,household36,household12,HIT
6.737,household07,household12,HIT
6.767,household27,household12,HIT
6.781,household16,household12,HIT
6.84,household37,household12,HIT
6.853,household08,household12,HIT
6.86,household34,household12,HIT
6.881,household03,household12,HIT
6.923,household22,household12,HIT
6.925,household02,household12,HIT
6.935,household05,household12,HIT
6.96,household11,household12,HIT
6.968,household40,household12,HIT
6.978,household21,household12,HIT
6.989,household12,household12,HIT
6.993,household01,household12,HIT
7.007,household20,household12,HIT
7.008,household29,household12,HIT
7.011,household23,household12,HIT
7.044,household09,household12,HIT
7.109,household38,household12,HIT
7.123,household19,household12,HIT
7.13,household35,household12,HIT
7.176,household10,household12,HIT
7.209,household17,household12,HIT
7.227,household04,household12,HIT
7.248,household18,household12,HIT
7.306,household39,household12,HIT
7.366,household24,household12,HIT
7.424,household14,household12,HIT
7.449,household32,household12,HIT
7.484,household31,household12,HIT
7.548,household30,household12,HIT
7.582,household06,household12,HIT
7.59,household28,household12,HIT
7.644,household13,household12,HIT
7.644,household26,household12,HIT
7.701,household33,household12,HIT
7.716,household25,household12,HIT
7.759,household07,household12,HIT
7.771,household15,household12,HIT
7.793,household36,household12,HIT
7.858,household27,household12,HIT
7.879,household37,household12,HIT
7.88,household34,household12,HIT
7.881,household16,household12,HIT
7.98,household03,household12,HIT
7.996,household02,household12,HIT
8.019,household08,household12,HIT
8.032,household12,household12,HIT
8.095,household21,household12,HIT
8.098,household11,household12,HIT
8.108,household05,household12,HIT
8.115,household38,household12,HIT
8.118,household23,household12,HIT
8.122,household22,household12,HIT
8.138,household40,household12,HIT
8.156,household01,household12,HIT
8.175,household29,household12,HIT
8.19,household20,household12,HIT
8.236,household09,household12,HIT
8.283,household19,household12,HIT
8.305,household17,household12,HIT
8.31,household18,household12,HIT
8.318,household35,household12,HIT
8.348,household39,household12,HIT
8.353,household10,household12,HIT
8.396,household04,household12,HIT
8.456,household24,household12,HIT
8.508,household32,household12,HIT
8.538,household14,household12,HIT
8.546,household31,household12,HIT
8.586,household06,household12,HIT
8.632,household30,household12,HIT
8.76,household07,household12,HIT
8.762,household28,household12,HIT
8.808,household13,household12,HIT
8.812,household33,household12,HIT
8.818,household26,household12,HIT
8.829,household25,household12,HIT
8.841,household15,household12,HIT
8.907,household36,household12,HIT
8.956,household34,household12,HIT
8.993,household27,household12,HIT
8.998,household02,household12,HIT
8.999,household37,household12,HIT
9.011,household16,household12,HIT
9.068,household08,household12,HIT
9.148,household03,household12,HIT
9.174,household23,household12,HIT
9.192,household12,household12,HIT
9.194,household21,household12,HIT
9.231,household01,household12,HIT
9.234,household11,household12,HIT
9.246,household05,household12,HIT
9.248,household38,household12,HIT
9.262,household22,household12,HIT
9.319,household29,household12,HIT
9.328,household19,household12,HIT
9.333,household40,household12,HIT
9.336,household09,household12,HIT
9.352,household20,household12,HIT
9.375,household39,household12,HIT
9.39,household17,household12,HIT
9.412,household35,household12,HIT
9.432,household18,household12,HIT
9.437,household04,household12,HIT
9.446,household10,household12,HIT
9.469,household24,household12,HIT
9.516,household32,household12,HIT
9.544,household14,household12,HIT
9.619,household31,household12,HIT
9.642,household06,household12,HIT
9.688,household30,household12,HIT
9.765,household07,household12,HIT
9.856,household25,household12,HIT
9.932,household33,household12,HIT
9.954,household26,household12,HIT
9.962,household28,household12,HIT
9.976,household13,household12,HIT
9.981,household36,household12,HIT
10.03,household15,household12,HIT
10.075,household16,household12,HIT
10.091,household34,household12,HIT
10.124,household02,household12,HIT
10.172,household37,household12,HIT
10.184,household27,household12,HIT
10.197,household08,household12,HIT
10.239,household03,household12,HIT
10.248,household12,household12,HIT
10.257,household23,household12,HIT
10.295,household22,household12,HIT
10.319,household01,household12,HIT
10.331,household05,household12,HIT
10.35,household19,household12,HIT
10.363,household11,household12,HIT
10.37,household09,household12,HIT
10.378,household29,household12,HIT
10.388,household21,household12,HIT
10.423,household40,household12,HIT
10.442,household38,household12,HIT
10.463,household04,household12,HIT
10.504,household39,household12,HIT
10.513,household35,household12,HIT
10.519,household20,household12,HIT
10.53,household17,household12,HIT
10.545,household10,household12,HIT
10.565,household18,household12,HIT
10.593,household24,household12,HIT
10.642,household32,household12,HIT
10.653,household31,household12,HIT
10.663,household14,household12,HIT
10.687,household06,household12,HIT
10.803,household07,household12,HIT
10.829,household30,household12,HIT
10.979,household33,household12,HIT
11.043,household25,household12,HIT
11.046,household28,household12,HIT
11.057,household26,household12,HIT
11.081,household15,household12,HIT
11.101,household13,household12,HIT
11.133,household36,household12,HIT
11.151,household34,household12,HIT
11.266,household16,household12,HIT
11.295,household02,household12,HIT
11.296,household37,household12,HIT
11.316,household08,household12,HIT
11.316,household27,household12,HIT
11.355,household22,household12,HIT
11.356,household03,household12,HIT
11.375,household12,household12,HIT
11.378,household11,household12,HIT
11.4,household23,household12,HIT
11.412,household09,household12,HIT
11.475,household01,household12,HIT
11.487,household05,household12,HIT
11.516,household21,household12,HIT
11.517,household04,household12,HIT
11.53,household35,household12,HIT
11.531,household38,household12,HIT
11.535,household19,household12,HIT
11.544,household29,household12,HIT
11.553,household39,household12,HIT
11.556,household40,household12,HIT
11.634,household17,household12,HIT
11.664,household10,household12,HIT
11.683,household24,household12,HIT
11.685,household20,household12,HIT
11.71,household14,household12,HIT
11.72,household18,household12,HIT
11.729,household32,household12,HIT
11.764,household31,household12,HIT
11.813,household06,household06,EXPIRED
11.842,household07,household06,HIT
12.028,household30,household06,HIT
12.076,household25,household06,HIT
12.1,household28,household06,HIT
12.106,household33,household06,HIT
12.107,household26,household06,HIT
12.159,household36,household06,HIT
12.161,household13,household06,HIT
12.194,household15,household06,HIT
12.297,household34,household06,HIT
12.311,household02,household06,HIT
12.365,household16,household06,HIT
12.393,household22,household06,HIT
12.414,household08,household06,HIT
12.426,household23,household06,HIT
12.442,household27,household06,HIT
12.463,household03,household06,HIT
12.473,household11,household06,HIT
12.485,household37,household06,HIT
12.535,household01,household06,HIT
12.536,household38,household06,HIT
12.546,household12,household06,HIT
12.566,household19,household06,HIT
12.568,household09,household06,HIT
12.568,household21,household06,HIT
12.574,household29,household06,HIT
12.581,household05,household06,HIT
12.641,household40,household06,HIT
12.69,household04,household06,HIT
12.692,household39,household06,HIT
12.7,household35,household06,HIT
12.709,household24,household06,HIT
12.734,household20,household06,HIT
12.745,household10,household06,HIT
12.752,household17,household06,HIT
12.831,household18,household06,HIT
12.864,household14,household06,HIT
12.868,household32,household06,HIT
12.905,household31,household06,HIT
12.97,household06,household06,HIT
12.993,household07,household06,HIT
13.13,household26,household06,HIT
13.158,household30,household06,HIT
13.206,household13,household06,HIT
13.213,household28,household06,HIT
13.22,household36,household06,HIT
13.235,household33,household06,HIT
13.245,household25,household06,HIT
13.299,household15,household06,HIT
13.369,household34,household06,HIT
13.401,household16,household06,HIT
13.427,household08,household06,HIT
13.443,household23,household06,HIT
13.448,household22,household06,HIT
13.47,household02,household06,HIT
13.506,household37,household06,HIT
13.578,household03,household06,HIT
13.594,household01,household06,HIT
13.606,household19,household06,HIT
13.622,household12,household06,HIT
13.637,household27,household06,HIT
13.661,household11,household06,HIT
13.668,household21,household06,HIT
13.69,household09,household06,HIT
13.711,household38,household06,HIT
13.743,household04,household06,HIT
13.767,household40,household06,HIT
13.774,household05,household06,HIT
13.774,household29,household06,HIT
13.789,household24,household06,HIT
13.802,household10,household06,HIT
13.809,household39,household06,HIT
13.852,household35,household06,HIT
13.881,household14,household06,HIT
13.89,household20,household06,HIT
13.928,household32,household06,HIT
13.942,household17,household06,HIT
13.989,household18,household06,HIT
14.009,household31,household06,HIT
14.015,household06,household06,HIT
14.016,household07,household06,HIT
14.203,household30,household06,HIT
14.227,household36,household06,HIT
14.233,household26,household06,HIT
14.257,household28,household06,HIT
14.299,household13,household06,HIT
14.307,household15,household06,HIT
14.372,household25,household06,HIT
14.387,household33,household06,HIT
14.414,household16,household06,HIT
14.431,household08,household06,HIT
14.518,household23,household06,HIT
14.528,household37,household06,HIT
14.533,household22,household06,HIT
14.534,household02,household06,HIT
14.55,household34,household06,HIT
14.638,household01,household06,HIT
14.666,household19,household06,HIT
14.701,household12,household06,HIT
14.755,household27,household06,HIT
14.764,household03,household06,HIT
14.779,household29,household06,HIT
14.787,household40,household06,HIT
14.824,household09,household06,HIT
14.834,household38,household06,HIT
14.842,household11,household06,HIT
14.848,household39,household06,HIT
14.861,household21,household06,HIT
14.888,household04,household06,HIT
14.91,household24,household06,HIT
14.915,household14,household06,HIT
14.925,household10,household06,HIT
14.929,household05,household06,HIT
14.969,household32,household06,HIT
15.032,household35,household06,HIT
15.036,household20,household06,HIT
15.066,household31,household06,HIT
15.085,household07,household06,HIT
15.114,household17,household06,HIT
15.134,household06,household06,HIT
15.143,household18,household06,HIT
15.288,household28,household06,HIT
15.309,household13,household06,HIT
15.345,household30,household06,HIT
15.363,household26,household06,HIT
15.417,household36,household06,HIT
15.462,household25,household06,HIT
15.49,household15,household06,HIT
15.517,household08,household06,HIT
15.548,household16,household06,HIT
15.579,household33,household06,HIT
15.589,household22,household06,HIT
15.594,household34,household06,HIT
15.629,household23,household06,HIT
15.64,household37,household06,HIT
15.646,household02,household06,HIT
15.737,household19,household06,HIT
15.744,household01,household06,HIT
15.755,household12,household06,HIT
15.797,household29,household06,HIT
15.806,household03,household06,HIT
15.817,household40,household06,HIT
15.841,household38,household06,HIT
15.844,household27,household06,HIT
15.956,household09,household06,HIT
15.961,household24,household06,HIT
15.963,household05,household06,HIT
15.986,household11,household06,HIT
15.999,household39,household06,HIT
16.023,household21,household06,HIT
16.06,household14,household06,HIT
16.078,household35,household06,HIT
16.087,household04,household06,HIT
16.099,household10,household06,HIT
16.133,household31,household06,HIT
16.135,household32,household06,HIT
16.163,household06,household06,HIT
16.178,household17,household06,HIT
16.212,household20,household06,HIT
16.263,household07,household06,HIT
16.341,household18,household06,HIT
16.354,household28,household06,HIT
16.394,household13,household06,HIT
16.425,household30,household06,HIT
16.46,household26,household06,HIT
16.539,household25,household06,HIT
16.558,household36,household06,HIT
16.564,household15,household06,HIT
16.611,household34,household06,HIT
16.648,household33,household06,HIT
16.67,household08,household06,HIT
16.685,household22,household06,HIT
16.692,household23,household06,HIT
16.715,household16,household06,HIT
16.752,household37,household06,HIT
16.796,household19,household06,HIT
16.808,household29,household06,HIT
16.811,household02,household06,HIT
16.892,household01,household06,HIT
16.895,household38,household06,HIT
16.905,household12,household06,HIT
16.952,household03,household06,HIT
16.968,household09,household06,HIT
17.003,household27,household06,HIT
17.005,household40,household06,HIT
17.013,household05,household06,HIT
17.056,household39,household06,HIT
17.12,household14,household06,HIT
17.126,household11,household06,HIT
17.15,household24,household06,HIT
17.18,household32,household06,HIT
17.222,household21,household06,HIT
17.226,household35,household06,HIT
17.231,household10,household06,HIT
17.237,household04,household06,HIT
17.248,household17,household06,HIT
17.252,household31,household06,HIT
17.288,household06,household06,HIT
17.303,household07,household06,HIT
17.326,household20,household06,HIT
17.458,household13,household06,HIT
17.462,household30,household06,HIT
17.505,household18,household06,HIT
17.511,household28,household06,HIT
17.52,household26,household06,HIT
17.544,household25,household06,HIT
17.611,household15,household06,HIT
17.7,household34,household06,HIT
17.701,household33,household06,HIT
17.712,household36,household06,HIT
17.8,household16,household16,EXPIRED
17.806,household08,household16,HIT
17.809,household23,household16,HIT
17.851,household19,household16,HIT
17.853,household37,household16,HIT
17.865,household22,household16,HIT
17.944,household12,household16,HIT
17.953,household03,household16,HIT
17.953,household29,household16,HIT
17.956,household01,household16,HIT
17.967,household02,household16,HIT
18.095,household38,household16,HIT
18.139,household09,household16,HIT
18.158,household27,household16,HIT
18.167,household40,household16,HIT
18.184,household05,household16,HIT
18.203,household39,household16,HIT
18.23,household35,household16,HIT
18.258,household14,household16,HIT
18.276,household24,household16,HIT
18.303,household11,household16,HIT
18.317,household32,household16,HIT
18.32,household17,household16,HIT
18.35,household07,household16,HIT
18.364,household21,household16,HIT
18.379,household10,household16,HIT
18.388,household06,household16,HIT
18.401,household31,household16,HIT
18.43,household04,household16,HIT
18.492,household20,household16,HIT
18.509,household18,household16,HIT
18.532,household13,household16,HIT
18.566,household26,household16,HIT
18.58,household28,household16,HIT
18.603,household30,household16,HIT
18.65,household25,household16,HIT
18.731,household36,household16,HIT
18.771,household34,household16,HIT
18.791,household15,household16,HIT
18.888,household08,household16,HIT
18.888,household33,household16,HIT
18.891,household19,household16,HIT
18.922,household22,household16,HIT
18.935,household16,household16,HIT
18.96,household23,household16,HIT
18.972,household02,household16,HIT
18.976,household37,household16,HIT
19.0,household29,household16,HIT
19.008,household12,household16,HIT
19.099,household03,household16,HIT
19.136,household01,household16,HIT
19.159,household09,household16,HIT
19.184,household40,household16,HIT
19.193,household27,household16,HIT
19.205,household38,household16,HIT
19.268,household05,household16,HIT
19.29,household39,household16,HIT
19.314,household24,household16,HIT
19.328,household32,household16,HIT
19.328,household35,household16,HIT
19.368,household07,household16,HIT
19.404,household10,household16,HIT
19.408,household31,household16,HIT
19.41,household21,household16,HIT
19.419,household17,household16,HIT
19.433,household14,household16,HIT
19.442,household04,household16,HIT
19.481,household11,household16,HIT
19.502,household06,household16,HIT
19.544,household13,household16,HIT
19.625,household20,household16,HIT
19.652,household28,household16,HIT
19.669,household18,household16,HIT
19.709,household26,household16,HIT
19.752,household30,household16,HIT
19.761,household36,household16,HIT
19.779,household34,household16,HIT
19.818,household25,household16,HIT
19.914,household08,household16,HIT
19.918,household15,household16,HIT
19.985,household16,household16,HIT
20.037,household33,household16,HIT
20.042,household02,household16,HIT
20.07,household19,household16,HIT
20.078,household22,household16,HIT
20.097,household12,household16,HIT
20.153,household29,household16,HIT
20.155,household23,household16,HIT
20.162,household03,household16,HIT
20.169,household37,household16,HIT
20.201,household09,household16,HIT
20.311,household40,household16,HIT
20.319,household01,household16,HIT
20.319,household38,household16,HIT
20.322,household05,household16,HIT
20.33,household35,household16,HIT
20.359,household39,household16,HIT
20.371,household27,household16,HIT
20.406,household07,household16,HIT
20.44,household24,household16,HIT
20.484,household17,household16,HIT
20.49,household21,household16,HIT
20.491,household32,household16,HIT
20.5,household11,household16,HIT
20.533,household04,household16,HIT
20.568,household14,household16,HIT
20.6,household10,household16,HIT
20.606,household31,household16,HIT
20.609,household06,household16,HIT
20.635,household13,household16,HIT
20.692,household18,household16,HIT
20.701,household20,household16,HIT
20.727,household28,household16,HIT
20.843,household36,household16,HIT
20.868,household26,household16,HIT
20.879,household30,household16,HIT
20.931,household08,household16,HIT
20.971,household34,household16,HIT
20.972,household25,household16,HIT
21.029,household16,household16,HIT
21.056,household15,household16,HIT
21.1,household33,household16,HIT
21.147,household12,household16,HIT
21.195,household37,household16,HIT
21.198,household19,household16,HIT
21.229,household02,household16,HIT
21.273,household22,household16,HIT
21.295,household29,household16,HIT
21.321,household03,household16,HIT
21.338,household23,household16,HIT
21.358,household05,household16,HIT
21.385,household27,household16,HIT
21.393,household09,household16,HIT
21.412,household35,household16,HIT
21.439,household40,household16,HIT
21.456,household38,household16,HIT
21.471,household07,household16,HIT
21.492,household39,household16,HIT
21.495,household01,household16,HIT
21.541,household21,household16,HIT
21.572,household14,household16,HIT
21.574,household32,household16,HIT
21.58,household04,household16,HIT
21.598,household17,household16,HIT
21.616,household11,household16,HIT
21.622,household24,household16,HIT
21.712,household31,household16,HIT
21.731,household06,household16,HIT
21.742,household13,household16,HIT
21.745,household18,household16,HIT
21.754,household10,household16,HIT
21.777,household28,household16,HIT
21.858,household20,household16,HIT
21.914,household36,household16,HIT
21.916,household26,household16,HIT
21.988,household25,household16,HIT
22.009,household08,household16,HIT
22.076,household30,household16,HIT
22.148,household15,household16,HIT
22.159,household34,household16,HIT
22.17,household16,household16,HIT
22.226,household12,household16,HIT
22.251,household02,household16,HIT
22.26,household19,household16,HIT
22.271,household33,household16,HIT
22.294,household37,household16,HIT
22.311,household29,household16,HIT
22.427,household03,household16,HIT
22.447,household27,household16,HIT
22.453,household22,household16,HIT
22.487,household23,household16,HIT
22.49,household40,household16,HIT
22.493,household38,household16,HIT
22.497,household05,household16,HIT
22.555,household39,household16,HIT
22.565,household35,household16,HIT
22.578,household32,household16,HIT
22.586,household09,household16,HIT
22.603,household07,household16,HIT
22.619,household21,household16,HIT
22.635,household17,household16,HIT
22.64,household24,household16,HIT
22.694,household01,household16,HIT
22.713,household04,household16,HIT
22.727,household11,household16,HIT
22.732,household31,household16,HIT
22.743,household14,household16,HIT
22.745,household06,household16,HIT
22.797,household18,household16,HIT
22.872,household20,household16,HIT
22.896,household13,household16,HIT
22.916,household10,household16,HIT
22.956,household28,household16,HIT
22.995,household36,household16,HIT
22.998,household25,household16,HIT
23.078,household30,household16,HIT
23.086,household08,household16,HIT
23.103,household26,household16,HIT
23.214,household16,household16,HIT
23.265,household34,household16,HIT
23.293,household33,household16,HIT
23.343,household15,household16,HIT
23.363,household29,household16,HIT
23.381,household02,household16,HIT
23.419,household37,household16,HIT
23.421,household12,household16,HIT
23.429,household19,household16,HIT
23.551,household40,household16,HIT
23.569,household03,household16,HIT
23.592,household35,household16,HIT
23.597,household23,household16,HIT
23.601,household27,household16,HIT
23.614,household22,household16,HIT
23.646,household09,household16,HIT
23.649,household05,household16,HIT
23.649,household07,household16,HIT
23.662,household38,household16,HIT
23.709,household39,household16,HIT
23.713,household17,household16,HIT
23.73,household32,household16,HIT
23.769,household31,household16,HIT
23.78,household24,household24,EXPIRED
23.789,household21,household24,HIT
23.798,household04,household24,HIT
23.811,household11,household24,HIT
23.813,household01,household24,HIT
23.9,household14,household24,HIT
23.903,household20,household24,HIT
23.93,household06,household24,HIT
23.95,household18,household24,HIT
23.981,household13,household24,HIT
24.016,household28,household24,HIT
24.018,household10,household24,HIT
24.123,household36,household24,HIT
24.133,household26,household24,HIT
24.149,household25,household24,HIT
24.218,household16,household24,HIT
24.234,household08,household24,HIT
24.241,household30,household24,HIT
24.388,household15,household24,HIT
24.41,household33,household24,HIT
24.416,household29,household24,HIT
24.458,household34,household24,HIT
24.52,household37,household24,HIT
24.541,household02,household24,HIT
24.559,household12,household24,HIT
24.575,household03,household24,HIT
24.601,household19,household24,HIT
24.615,household40,household24,HIT
24.702,household07,household24,HIT
24.704,household23,household24,HIT
24.713,household35,household24,HIT
24.715,household27,household24,HIT
24.737,household05,household24,HIT
24.75,household09,household24,HIT
24.759,household22,household24,HIT
24.784,household38,household24,HIT
24.816,household11,household24,HIT
24.817,household32,household24,HIT
24.83,household17,household24,HIT
24.831,household39,household24,HIT
24.846,household31,household24,HIT
24.909,household04,household24,HIT
24.909,household20,household24,HIT
24.948,household21,household24,HIT
24.954,household01,household24,HIT
24.956,household24,household24,HIT
24.988,household14,household24,HIT
25.043,household18,household24,HIT
25.093,household06,household24,HIT
25.094,household10,household24,HIT
25.102,household13,household24,HIT
25.215,household28,household24,HIT
25.216,household25,household24,HIT
25.254,household16,household24,HIT
25.289,household26,household24,HIT
25.292,household36,household24,HIT
25.317,household30,household24,HIT
25.404,household08,household24,HIT
25.457,household33,household24,HIT
25.474,household29,household24,HIT
25.545,household34,household24,HIT
25.554,household15,household24,HIT
25.584,household12,household24,HIT
25.621,household37,household24,HIT
25.634,household02,household24,HIT
25.646,household19,household24,HIT
25.647,household40,household24,HIT
25.676,household03,household24,HIT
25.733,household23,household24,HIT
25.741,household05,household24,HIT
25.757,household07,household24,HIT
25.786,household22,household24,HIT
25.818,household09,household24,HIT
25.847,household32,household24,HIT
25.887,household27,household24,HIT
25.889,household35,household24,HIT
25.917,household38,household24,HIT
25.92,household11,household24,HIT
25.939,household17,household24,HIT
25.94,household39,household24,HIT
25.964,household21,household24,HIT
25.989,household20,household24,HIT
26.005,household31,household24,HIT
26.007,household24,household24,HIT
26.022,household04,household24,HIT
26.078,household01,household24,HIT
26.129,household13,household24,HIT
26.144,household18,household24,HIT
26.184,household14,household24,HIT
26.243,household10,household24,HIT
26.259,household06,household24,HIT
26.285,household28,household24,HIT
26.291,household16,household24,HIT
26.303,household36,household24,HIT
26.337,household30,household24,HIT
26.368,household25,household24,HIT
26.487,household26,household24,HIT
26.506,household08,household24,HIT
26.534,household29,household24,HIT
26.621,household12,household24,HIT
26.631,household33,household24,HIT
26.669,household15,household24,HIT
26.693,household37,household24,HIT
26.729,household34,household24,HIT
26.734,household03,household24,HIT
26.75,household23,household24,HIT
26.77,household40,household24,HIT
26.796,household02,household24,HIT
26.796,household19,household24,HIT
26.802,household07,household24,HIT
26.81,household22,household24,HIT
26.894,household32,household24,HIT
26.9,household05,household24,HIT
26.903,household27,household24,HIT
26.945,household09,household24,HIT
26.957,household17,household24,HIT
26.978,household35,household24,HIT
26.996,household11,household24,HIT
27.016,household31,household24,HIT
27.047,household39,household24,HIT
27.074,household21,household24,HIT
27.093,household38,household24,HIT
27.1,household20,household24,HIT
27.187,household14,household24,HIT
27.204,household24,household24,HIT
27.219,household04,household24,HIT
